numero,url,nome,proximas_evolucoes,tamanho,peso,tipos,efetividade,habilidades
0052,https://pokemondb.net/pokedex/meowth,Meowth,"[{'numero': '#0053', 'level': '#0052', 'item': None, 'nome': 'Persian', 'url': 'https://pokemondb.net/pokedex/persian'}, {'numero': '(high ', 'level': '#0053', 'item': None, 'nome': None, 'url': None}, {'numero': '#0052', 'level': 'Level 28', 'item': None, 'nome': 'Meowth', 'url': 'https://pokemondb.net/pokedex/meowth'}, {'numero': '#0863', 'level': None, 'item': None, 'nome': 'Perrserker', 'url': 'https://pokemondb.net/pokedex/perrserker'}]",0.4 m (1′04″),4.2 kg (9.3 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/unnerve', 'nome': 'Unnerve', 'descricao': 'Makes the foe nervous and unable to eat Berries.'}, {'url': 'https://pokemondb.net/ability/technician', 'nome': 'Technician', 'descricao': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .'}, {'url': 'https://pokemondb.net/ability/pickup', 'nome': 'Pickup', 'descricao': 'When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again. Pokémon with Pickup will also obtain an item thrown at them with Fling (if they are not already holding anything). In Generations 3-4 , Pickup has no effect in battle. When a battle ends, any party Pokémon with Pickup has a 10% chance of picking up an item (if they are not already holding an item). Items picked up range from Potions, Great Balls, Ultra Balls and Rare Candies up to Leftovers and some TMs. Better items have a lower chance of being found; furthermore, higher-level Pokémon will obtain better items.'}]"
0053,https://pokemondb.net/pokedex/persian,Persian,"[{'numero': '(high ', 'level': '#0053', 'item': None, 'nome': None, 'url': None}, {'numero': '#0052', 'level': 'Level 28', 'item': None, 'nome': 'Meowth', 'url': 'https://pokemondb.net/pokedex/meowth'}, {'numero': '#0863', 'level': None, 'item': None, 'nome': 'Perrserker', 'url': 'https://pokemondb.net/pokedex/perrserker'}]",1.0 m (3′03″),32.0 kg (70.5 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/unnerve', 'nome': 'Unnerve', 'descricao': 'Makes the foe nervous and unable to eat Berries.'}, {'url': 'https://pokemondb.net/ability/technician', 'nome': 'Technician', 'descricao': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .'}, {'url': 'https://pokemondb.net/ability/limber', 'nome': 'Limber', 'descricao': 'The Pokémon is protected from paralysis.'}]"
0053,https://pokemondb.net/pokedex/persian,Persian,"[{'numero': '(high ', 'level': '#0053', 'item': None, 'nome': None, 'url': None}, {'numero': '#0052', 'level': 'Level 28', 'item': None, 'nome': 'Meowth', 'url': 'https://pokemondb.net/pokedex/meowth'}, {'numero': '#0863', 'level': None, 'item': None, 'nome': 'Perrserker', 'url': 'https://pokemondb.net/pokedex/perrserker'}]",1.0 m (3′03″),32.0 kg (70.5 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/unnerve', 'nome': 'Unnerve', 'descricao': 'Makes the foe nervous and unable to eat Berries.'}, {'url': 'https://pokemondb.net/ability/technician', 'nome': 'Technician', 'descricao': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .'}, {'url': 'https://pokemondb.net/ability/limber', 'nome': 'Limber', 'descricao': 'The Pokémon is protected from paralysis.'}]"
0054,https://pokemondb.net/pokedex/psyduck,Psyduck,"[{'numero': '#0055', 'level': None, 'item': None, 'nome': 'Golduck', 'url': 'https://pokemondb.net/pokedex/golduck'}]",0.8 m (2′07″),19.6 kg (43.2 lbs),Water,"{'Nor': '1', 'Fir': '½', 'Wat': '½', 'Ele': '2', 'Gra': '2', 'Ice': '½', 'Fig': '1', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/swift-swim', 'nome': 'Swift Swim', 'descricao': ""Swift Swim doubles the ability-bearer's Speed during rain .""}, {'url': 'https://pokemondb.net/ability/cloud-nine', 'nome': 'Cloud Nine', 'descricao': 'Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.'}, {'url': 'https://pokemondb.net/ability/damp', 'nome': 'Damp', 'descricao': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion . It also prevents damage (to the Damp Pokémon only) from the ability Aftermath .'}]"
0055,https://pokemondb.net/pokedex/golduck,Golduck,,1.7 m (5′07″),76.6 kg (168.9 lbs),Water,"{'Nor': '1', 'Fir': '½', 'Wat': '½', 'Ele': '2', 'Gra': '2', 'Ice': '½', 'Fig': '1', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/swift-swim', 'nome': 'Swift Swim', 'descricao': ""Swift Swim doubles the ability-bearer's Speed during rain .""}, {'url': 'https://pokemondb.net/ability/cloud-nine', 'nome': 'Cloud Nine', 'descricao': 'Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.'}, {'url': 'https://pokemondb.net/ability/damp', 'nome': 'Damp', 'descricao': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion . It also prevents damage (to the Damp Pokémon only) from the ability Aftermath .'}]"
0056,https://pokemondb.net/pokedex/mankey,Mankey,"[{'numero': '#0057', 'level': 'Use Rage Fist 20 times', 'item': None, 'nome': 'Primeape', 'url': 'https://pokemondb.net/pokedex/primeape'}, {'numero': '#0979', 'level': None, 'item': None, 'nome': 'Annihilape', 'url': 'https://pokemondb.net/pokedex/annihilape'}]",0.5 m (1′08″),28.0 kg (61.7 lbs),Fighting,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '1', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/defiant', 'nome': 'Defiant', 'descricao': ""Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move. Stats can be raised to a maximum of +6 stages each.""}, {'url': 'https://pokemondb.net/ability/anger-point', 'nome': 'Anger Point', 'descricao': ""Anger Point raises the ability-bearer's Attack to its maximum level - +6 stages or 4× usual power - when a move targeting it receives a critical hit.""}, {'url': 'https://pokemondb.net/ability/vital-spirit', 'nome': 'Vital Spirit', 'descricao': 'Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest . If a Pokémon with Vital Spirit is the leading party Pokémon, wild Pokémon are 50% more likely to be higher level.'}]"
0001,https://pokemondb.net/pokedex/bulbasaur,Bulbasaur,"[{'numero': '#0002', 'level': 'Level 32', 'item': None, 'nome': 'Ivysaur', 'url': 'https://pokemondb.net/pokedex/ivysaur'}, {'numero': '#0003', 'level': None, 'item': None, 'nome': 'Venusaur', 'url': 'https://pokemondb.net/pokedex/venusaur'}]",0.7 m (2′04″),6.9 kg (15.2 lbs),"Grass, Poison","{'Nor': '1', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '¼', 'Ice': '2', 'Fig': '½', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/chlorophyll', 'nome': 'Chlorophyll', 'descricao': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine .""}, {'url': 'https://pokemondb.net/ability/overgrow', 'nome': 'Overgrow', 'descricao': ""Overgrow increases the power of Grass -type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch ).""}]"
1024,https://pokemondb.net/pokedex/terapagos,Terapagos,,0.2 m (0′08″),6.5 kg (14.3 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/tera-shift', 'nome': 'Tera Shift', 'descricao': 'When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.'}]"
1024,https://pokemondb.net/pokedex/terapagos,Terapagos,,0.2 m (0′08″),6.5 kg (14.3 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/tera-shift', 'nome': 'Tera Shift', 'descricao': 'When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.'}]"
1024,https://pokemondb.net/pokedex/terapagos,Terapagos,,0.2 m (0′08″),6.5 kg (14.3 lbs),Normal,"{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '1', 'Ice': '1', 'Fig': '2', 'Poi': '1', 'Gro': '1'}","[{'url': 'https://pokemondb.net/ability/tera-shift', 'nome': 'Tera Shift', 'descricao': 'When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.'}]"
1023,https://pokemondb.net/pokedex/iron-crown,Iron Crown,,1.6 m (5′03″),156.0 kg (343.9 lbs),"Steel, Psychic","{'Nor': '½', 'Fir': '2', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '½', 'Fig': '1', 'Poi': '0', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/quark-drive', 'nome': 'Quark Drive', 'descricao': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.'}]"
1022,https://pokemondb.net/pokedex/iron-boulder,Iron Boulder,,1.5 m (4′11″),162.5 kg (358.3 lbs),"Rock, Psychic","{'Nor': '½', 'Fir': '½', 'Wat': '2', 'Ele': '1', 'Gra': '2', 'Ice': '1', 'Fig': '1', 'Poi': '½', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/quark-drive', 'nome': 'Quark Drive', 'descricao': 'Raises highest stat on Electric Terrain, or if holding Booster Energy.'}]"
1021,https://pokemondb.net/pokedex/raging-bolt,Raging Bolt,,5.2 m (17′01″),480.0 kg (1058.2 lbs),"Electric, Dragon","{'Nor': '1', 'Fir': '½', 'Wat': '½', 'Ele': '¼', 'Gra': '½', 'Ice': '2', 'Fig': '1', 'Poi': '1', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/protosynthesis', 'nome': 'Protosynthesis', 'descricao': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.'}]"
1020,https://pokemondb.net/pokedex/gouging-fire,Gouging Fire,,3.5 m (11′06″),590.0 kg (1300.7 lbs),"Fire, Dragon","{'Nor': '1', 'Fir': '¼', 'Wat': '1', 'Ele': '½', 'Gra': '¼', 'Ice': '1', 'Fig': '1', 'Poi': '1', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/protosynthesis', 'nome': 'Protosynthesis', 'descricao': 'Raises highest stat in harsh sunlight, or if holding Booster Energy.'}]"
1013,https://pokemondb.net/pokedex/sinistcha,Sinistcha,,0.2 m (0′08″),2.2 kg (4.9 lbs),"Grass, Ghost","{'Nor': '0', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '0', 'Poi': '1', 'Gro': '½'}","[{'url': 'https://pokemondb.net/ability/heatproof', 'nome': 'Heatproof', 'descricao': ""Heatproof reduces the damage taken from Fire -type moves by 50%. It also halves the damage from a burn, from 1 ⁄ 8 to 1 ⁄ 16 of the Pokémon's maximum HP.""}, {'url': 'https://pokemondb.net/ability/hospitality', 'nome': 'Hospitality', 'descricao': ""When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.""}]"
1014,https://pokemondb.net/pokedex/okidogi,Okidogi,,1.8 m (5′11″),92.0 kg (202.8 lbs),"Poison, Fighting","{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '1', 'Fig': '½', 'Poi': '½', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/guard-dog', 'nome': 'Guard Dog', 'descricao': 'Boosts Attack if intimidated, and prevents being forced to switch out.'}, {'url': 'https://pokemondb.net/ability/toxic-chain', 'nome': 'Toxic Chain', 'descricao': 'Toxic Chain may cause bad poisoning when the Pokémon hits an opponent with a move. Toxic Chain is a new ability available in the Scarlet/Violet DLC.'}]"
1015,https://pokemondb.net/pokedex/munkidori,Munkidori,,1.0 m (3′03″),12.2 kg (26.9 lbs),"Poison, Psychic","{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '1', 'Fig': '¼', 'Poi': '½', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/frisk', 'nome': 'Frisk', 'descricao': ""The Pokémon can check a foe's held item.""}, {'url': 'https://pokemondb.net/ability/toxic-chain', 'nome': 'Toxic Chain', 'descricao': 'Toxic Chain may cause bad poisoning when the Pokémon hits an opponent with a move. Toxic Chain is a new ability available in the Scarlet/Violet DLC.'}]"
1016,https://pokemondb.net/pokedex/fezandipiti,Fezandipiti,,1.4 m (4′07″),30.1 kg (66.4 lbs),"Poison, Fairy","{'Nor': '1', 'Fir': '1', 'Wat': '1', 'Ele': '1', 'Gra': '½', 'Ice': '1', 'Fig': '¼', 'Poi': '1', 'Gro': '2'}","[{'url': 'https://pokemondb.net/ability/technician', 'nome': 'Technician', 'descricao': 'Technician increases the power of moves - that are usually base power 60 or below - by 50%. Moves with variable base power are boosted only when it is 60 or below. For example, if Magnitude hits at level 6 it will be boosted from 50 to 75, but level 7 will stay at 70 base power. Moves like Sonic Boom that deal fixed HP damage are not affected by Technician .'}, {'url': 'https://pokemondb.net/ability/toxic-chain', 'nome': 'Toxic Chain', 'descricao': 'Toxic Chain may cause bad poisoning when the Pokémon hits an opponent with a move. Toxic Chain is a new ability available in the Scarlet/Violet DLC.'}]"
1017,https://pokemondb.net/pokedex/ogerpon,Ogerpon,,1.2 m (3′11″),39.8 kg (87.7 lbs),Grass,"{'Nor': '1', 'Fir': '2', 'Wat': '½', 'Ele': '½', 'Gra': '½', 'Ice': '2', 'Fig': '1', 'Poi': '2', 'Gro': '½'}","[{'url': 'https://pokemondb.net/ability/embody-aspect', 'nome': 'Embody Aspect', 'descricao': 'Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon :'}, {'url': 'https://pokemondb.net/ability/defiant', 'nome': 'Defiant', 'descricao': ""Defiant raises the ability-bearer's Attack by two stages when hit by a stat-lowering move. Stats can be raised to a maximum of +6 stages each.""}]"
